instance_name,m,n,w,total_golfers,problem_size,sat_runtime,sat_result,sa_runtime,sa_result,sa_repeated_pairs,best_algo
sgp_3_3_3.txt,3.0,3.0,3.0,9.0,27.0,0.0007559999999999,3.0,0.7932648658752441,3.0,0.0,sat
sgp_4_3_3.txt,4.0,3.0,3.0,12.0,36.0,0.0019839999999931,3.0,0.8160159587860107,3.0,0.0,sat
sgp_3_3_4.txt,3.0,3.0,4.0,9.0,36.0,0.002836,4.0,0.8188741207122803,4.0,0.0,sat
sgp_4_4_5.txt,4.0,4.0,5.0,16.0,80.0,0.0931149999999999,5.0,2.89,5.0,2.0,sat
sgp_4_3_4.txt,4.0,3.0,4.0,12.0,48.0,0.0088470000000029,4.0,0.8332169055938721,4.0,0.0,sat
sgp_4_3_5.txt,4.0,3.0,5.0,12.0,60.0,,,0.8540029525756836,5.0,3.0,sa
sgp_5_3_6.txt,5.0,3.0,6.0,15.0,90.0,30.280638,6.0,2.89,6.0,0.0,sa
sgp_5_3_7.txt,5.0,3.0,7.0,15.0,105.0,,,3.45,7.0,0.0,sa
sgp_5_3_3.txt,5.0,3.0,3.0,15.0,45.0,0.002735,3.0,0.6990139484405518,3.0,0.0,sat
sgp_4_4_3.txt,4.0,4.0,3.0,16.0,48.0,0.0066469999999867,3.0,0.7381961345672607,3.0,0.0,sat
sgp_5_3_4.txt,5.0,3.0,4.0,15.0,60.0,0.004275,4.0,0.7181038856506348,4.0,0.0,sat
sgp_5_4_6.txt,5.0,4.0,6.0,20.0,120.0,,,3.89,6.0,0.0,sa
sgp_4_4_4.txt,4.0,4.0,4.0,16.0,64.0,0.0118630000000052,4.0,0.7733042240142822,4.0,0.0,sat
sgp_5_4_3.txt,5.0,4.0,3.0,20.0,60.0,0.0050719999999842,3.0,0.7400269508361816,3.0,0.0,sat
sgp_5_4_4.txt,5.0,4.0,4.0,20.0,80.0,0.0291969999999537,4.0,0.8960249423980713,4.0,1.0,sat
sgp_5_5_3.txt,5.0,5.0,3.0,25.0,75.0,0.0176920000001246,3.0,0.9204719066619872,3.0,0.0,sat
sgp_5_4_5.txt,5.0,4.0,5.0,20.0,100.0,4.511439999999993,5.0,0.954669952392578,5.0,5.0,sat
sgp_5_5_4.txt,5.0,5.0,4.0,25.0,100.0,0.0921139999999999,4.0,0.974510908126831,4.0,6.0,sat
sgp_6_3_7.txt,6.0,3.0,7.0,18.0,126.0,24.281562,7.0,3.78,7.0,1.0,sat
sgp_6_3_8.txt,6.0,3.0,8.0,18.0,144.0,,,4.12,8.0,2.0,sa
sgp_5_5_5.txt,5.0,5.0,5.0,25.0,125.0,3.7214519999999993,5.0,1.05208420753479,5.0,16.0,sat
sgp_6_3_3.txt,6.0,3.0,3.0,18.0,54.0,0.005552,3.0,0.788762092590332,3.0,0.0,sat
sgp_6_3_4.txt,6.0,3.0,4.0,18.0,72.0,0.0075479999999999,4.0,0.8153269290924072,4.0,0.0,sat
sgp_6_4_7.txt,6.0,4.0,7.0,24.0,168.0,,,5.23,7.0,1.0,sa
sgp_6_4_3.txt,6.0,4.0,3.0,24.0,72.0,0.0094009999999999,3.0,0.8411381244659424,3.0,0.0,sat
sgp_6_4_4.txt,6.0,4.0,4.0,24.0,96.0,0.016533,4.0,0.8982119560241699,4.0,0.0,sat
sgp_5_5_6.txt,5.0,5.0,6.0,25.0,150.0,33.984594,6.0,1.148583173751831,6.0,39.0,sat
sgp_6_5_3.txt,6.0,5.0,3.0,30.0,90.0,0.0136989999999999,3.0,0.9534149169921876,3.0,0.0,sat
sgp_6_4_6.txt,6.0,4.0,6.0,24.0,144.0,,,1.0629489421844482,6.0,8.0,sa
sgp_6_5_4.txt,6.0,5.0,4.0,30.0,120.0,13.966203,4.0,0.9970827102661132,4.0,2.0,sat
sgp_6_5_6.txt,6.0,5.0,6.0,30.0,180.0,,,1.1998131275177002,6.0,30.0,sa
sgp_6_5_7.txt,6.0,5.0,7.0,30.0,210.0,,,1.2882566452026367,7.0,58.0,sa
sgp_7_3_10.txt,7.0,3.0,10.0,21.0,210.0,,,6.12,10.0,3.0,sa
sgp_6_6_3.txt,6.0,6.0,3.0,36.0,108.0,0.0216509999999999,3.0,1.0382020473480225,3.0,0.0,sat
sgp_6_6_4.txt,6.0,6.0,4.0,36.0,144.0,,,1.1793301105499268,4.0,8.0,sa
sgp_7_3_9.txt,7.0,3.0,9.0,21.0,189.0,,,5.34,9.0,1.0,sa
sgp_7_3_3.txt,7.0,3.0,3.0,21.0,63.0,0.00475,3.0,0.8705670833587646,3.0,0.0,sat
sgp_6_6_6.txt,6.0,6.0,6.0,36.0,216.0,,,1.4048380851745603,6.0,70.0,sa
sgp_7_4_8.txt,7.0,4.0,8.0,28.0,224.0,,,6.12,8.0,0.0,sa
sgp_7_4_9.txt,7.0,4.0,9.0,28.0,252.0,,,6.89,9.0,3.0,sa
sgp_7_3_4.txt,7.0,3.0,4.0,21.0,84.0,0.013695,4.0,0.904850959777832,4.0,0.0,sat
sgp_6_6_7.txt,6.0,6.0,7.0,36.0,252.0,,,1.7113993167877195,7.0,116.0,sa
sgp_7_4_3.txt,7.0,4.0,3.0,28.0,84.0,0.011715,3.0,1.0103299617767334,3.0,0.0,sat
sgp_7_4_4.txt,7.0,4.0,4.0,28.0,112.0,0.022807,4.0,1.0359218120574951,4.0,0.0,sat
sgp_7_5_3.txt,7.0,5.0,3.0,35.0,105.0,0.0229289999999999,3.0,1.079936981201172,3.0,0.0,sat
sgp_7_5_4.txt,7.0,5.0,4.0,35.0,140.0,0.0392079999999999,4.0,1.2824409008026123,4.0,1.0,sat
sgp_7_6_3.txt,7.0,6.0,3.0,42.0,126.0,0.0256400000000001,3.0,1.191520929336548,3.0,0.0,sat
sgp_7_5_7.txt,7.0,5.0,7.0,35.0,245.0,,,1.529810905456543,7.0,43.0,sa
sgp_7_5_8.txt,7.0,5.0,8.0,35.0,280.0,,,1.6197199821472168,8.0,73.0,sa
sgp_7_6_4.txt,7.0,6.0,4.0,42.0,168.0,,,1.3614630699157717,4.0,5.0,sa
sgp_7_6_7.txt,7.0,6.0,7.0,42.0,294.0,,,1.6712267398834229,7.0,93.0,sa
sgp_7_7_3.txt,7.0,7.0,3.0,49.0,147.0,0.0706029999999999,3.0,1.4239490032196045,3.0,0.0,sat
sgp_8_3_10.txt,8.0,3.0,10.0,24.0,240.0,,,6.78,10.0,0.0,sa
sgp_8_3_11.txt,8.0,3.0,11.0,24.0,264.0,,,7.23,11.0,5.0,sa
sgp_7_7_4.txt,7.0,7.0,4.0,49.0,196.0,,,1.6164209842681885,4.0,19.0,sa
sgp_7_6_8.txt,7.0,6.0,8.0,42.0,336.0,,,1.9994399547576904,8.0,146.0,sa
sgp_8_4_10.txt,8.0,4.0,10.0,32.0,320.0,,,8.34,10.0,0.0,sa
sgp_8_3_3.txt,8.0,3.0,3.0,24.0,72.0,0.010766,3.0,0.7816600799560547,3.0,0.0,sat
sgp_7_7_7.txt,7.0,7.0,7.0,49.0,343.0,,,2.1622138023376465,7.0,165.0,sa
sgp_8_3_4.txt,8.0,3.0,4.0,24.0,96.0,0.008411,4.0,0.9407448768615724,4.0,0.0,sat
sgp_8_4_3.txt,8.0,4.0,3.0,32.0,96.0,0.010973,3.0,1.0146172046661377,3.0,0.0,sat
sgp_8_4_8.txt,8.0,4.0,8.0,32.0,256.0,,,7.89,8.0,0.0,sa
sgp_8_4_9.txt,8.0,4.0,9.0,32.0,288.0,,,8.56,9.0,2.0,sa
sgp_8_4_4.txt,8.0,4.0,4.0,32.0,128.0,0.0201649999999999,4.0,1.026297092437744,4.0,0.0,sat
sgp_7_7_8.txt,7.0,7.0,8.0,49.0,392.0,,,2.250606060028076,8.0,262.0,sa
sgp_8_4_6.txt,8.0,4.0,6.0,32.0,192.0,0.0832109999999999,6.0,1.2178771495819092,6.0,2.0,sat
sgp_8_4_7.txt,8.0,4.0,7.0,32.0,224.0,,,1.4053590297698977,7.0,12.0,sa
sgp_8_5_3.txt,8.0,5.0,3.0,40.0,120.0,0.024545,3.0,1.205869197845459,3.0,0.0,sat
sgp_8_5_4.txt,8.0,5.0,4.0,40.0,160.0,0.052273,4.0,1.4731237888336182,4.0,0.0,sat
sgp_8_5_8.txt,8.0,5.0,8.0,40.0,320.0,,,2.1748087406158447,8.0,57.0,sa
sgp_8_6_3.txt,8.0,6.0,3.0,48.0,144.0,0.041865,3.0,1.5347273349761963,3.0,0.0,sat
sgp_8_5_9.txt,8.0,5.0,9.0,40.0,360.0,,,2.247422933578491,9.0,96.0,sa
sgp_8_6_4.txt,8.0,6.0,4.0,48.0,192.0,41.298991,4.0,1.7243809700012207,4.0,4.0,sat
sgp_8_6_8.txt,8.0,6.0,8.0,48.0,384.0,,,2.696985960006714,8.0,134.0,sa
sgp_8_7_3.txt,8.0,7.0,3.0,56.0,168.0,0.145086,3.0,1.7880470752716064,3.0,0.0,sat
sgp_8_7_4.txt,8.0,7.0,4.0,56.0,224.0,,,1.9534037113189695,4.0,12.0,sa
sgp_8_6_9.txt,8.0,6.0,9.0,48.0,432.0,,,2.7053439617156982,9.0,193.0,sa
sgp_8_7_8.txt,8.0,7.0,8.0,56.0,448.0,,,2.896085262298584,8.0,228.0,sa
sgp_8_8_3.txt,8.0,8.0,3.0,64.0,192.0,11.172847,3.0,1.577488899230957,3.0,2.0,sat
sgp_9_3_3.txt,9.0,3.0,3.0,27.0,81.0,0.0116189999999999,3.0,0.8510231971740723,3.0,0.0,sat
sgp_8_8_4.txt,8.0,8.0,4.0,64.0,256.0,,,1.9269640445709229,4.0,31.0,sa
sgp_9_3_12.txt,9.0,3.0,12.0,27.0,324.0,,,9.34,12.0,4.0,sa
sgp_9_3_4.txt,9.0,3.0,4.0,27.0,108.0,0.023699,4.0,0.8213639259338379,4.0,0.0,sat
sgp_8_7_9.txt,8.0,7.0,9.0,56.0,504.0,,,2.83034086227417,9.0,313.0,sa
sgp_9_3_13.txt,9.0,3.0,13.0,27.0,351.0,,,1.2350759506225586,13.0,31.0,sa
sgp_9_4_10.txt,9.0,4.0,10.0,36.0,360.0,,,1.496739149093628,10.0,41.0,sa
sgp_8_8_8.txt,8.0,8.0,8.0,64.0,512.0,,,3.0701889991760254,8.0,332.0,sa
sgp_9_4_3.txt,9.0,4.0,3.0,36.0,108.0,0.0317359999999999,3.0,0.8464610576629639,3.0,0.0,sat
sgp_9_4_11.txt,9.0,4.0,11.0,36.0,396.0,,,1.5187170505523682,11.0,68.0,sa
sgp_9_4_4.txt,9.0,4.0,4.0,36.0,144.0,0.0515309999999999,4.0,0.9465978145599364,4.0,0.0,sat
sgp_9_5_3.txt,9.0,5.0,3.0,45.0,135.0,0.0482409999999999,3.0,0.9930968284606934,3.0,0.0,sat
sgp_9_5_4.txt,9.0,5.0,4.0,45.0,180.0,0.1253619999999999,4.0,2.1110129356384277,4.0,0.0,sat
sgp_9_6_3.txt,9.0,6.0,3.0,54.0,162.0,0.1048490000000001,3.0,2.4001379013061523,3.0,0.0,sat
sgp_8_8_9.txt,8.0,8.0,9.0,64.0,576.0,,,4.761356830596924,9.0,471.0,sa
sgp_9_6_4.txt,9.0,6.0,4.0,54.0,216.0,0.188339,4.0,3.2217659950256348,4.0,2.0,sat
sgp_9_5_11.txt,9.0,5.0,11.0,45.0,495.0,,,4.300894021987915,11.0,164.0,sa
sgp_9_5_10.txt,9.0,5.0,10.0,45.0,450.0,,,3.6413698196411137,10.0,120.0,sa
sgp_9_7_3.txt,9.0,7.0,3.0,63.0,189.0,0.1217209999999999,3.0,2.45336389541626,3.0,0.0,sat
sgp_9_6_10.txt,9.0,6.0,10.0,54.0,540.0,,,3.975811958312988,10.0,241.0,sa
sgp_9_6_9.txt,9.0,6.0,9.0,54.0,486.0,,,3.831390142440796,9.0,178.0,sa
sgp_9_8_3.txt,9.0,8.0,3.0,72.0,216.0,1.0124999999999993,3.0,2.2779228687286377,3.0,1.0,sat
sgp_9_7_4.txt,9.0,7.0,4.0,63.0,252.0,,,2.0536820888519287,4.0,10.0,sa
sgp_9_7_10.txt,9.0,7.0,10.0,63.0,630.0,,,4.251260995864868,10.0,400.0,sa
sgp_9_7_9.txt,9.0,7.0,9.0,63.0,567.0,,,3.3563709259033203,9.0,285.0,sa
sgp_9_8_4.txt,9.0,8.0,4.0,72.0,288.0,,,1.907233953475952,4.0,24.0,sa
sgp_9_8_10.txt,9.0,8.0,10.0,72.0,720.0,,,4.347268104553223,10.0,573.0,sa
sgp_9_8_9.txt,9.0,8.0,9.0,72.0,648.0,,,3.582160711288452,9.0,452.0,sa
,,,,,,,,,,,
